iter	Passed	Remaining
410	1340	1921
411	1346	1922
412	1355	1925
413	1364	1930
414	1367	1927
415	1369	1923
416	1371	1917
417	1373	1912
418	1377	1910
419	1379	1905
420	1381	1899
421	1383	1895
422	1384	1889
423	1386	1883
424	1387	1876
425	1388	1870
426	1391	1867
427	1393	1862
428	1397	1860
429	1402	1859
430	1410	1861
431	1414	1860
432	1416	1855
433	1419	1850
434	1425	1851
435	1427	1846
436	1428	1841
437	1433	1838
438	1434	1833
439	1437	1829
440	1440	1826
441	1444	1823
442	1449	1822
443	1453	1820
444	1456	1816
445	1458	1812
446	1470	1819
447	1476	1819
448	1488	1827
449	1492	1824
450	1494	1818
451	1496	1813
452	1501	1812
453	1503	1808
454	1505	1803
455	1510	1801
456	1511	1796
457	1515	1793
458	1517	1788
459	1521	1786
460	1523	1781
461	1526	1777
462	1538	1784
463	1553	1793
464	1556	1790
465	1559	1787
466	1563	1784
467	1566	1780
468	1568	1775
469	1569	1770
470	1575	1769
471	1578	1765
472	1582	1763
473	1586	1761
474	1595	1763
475	1601	1762
476	1604	1758
477	1610	1758
478	1613	1754
479	1614	1749
480	1618	1746
481	1624	1745
482	1626	1741
483	1628	1736
484	1632	1733
485	1639	1734
486	1642	1730
487	1644	1725
488	1649	1723
489	1657	1725
490	1662	1723
491	1666	1720
492	1669	1716
493	1674	1715
494	1677	1711
495	1679	1706
496	1683	1703
497	1686	1699
498	1688	1695
499	1690	1690
500	1693	1687
501	1696	1682
502	1702	1682
503	1708	1681
504	1716	1682
505	1721	1680
506	1724	1676
507	1729	1674
508	1733	1671
509	1736	1668
510	1738	1663
511	1740	1659
512	1787	1697
513	1789	1691
514	1794	1690
515	1797	1685
516	1798	1680
517	1800	1675
518	1802	1670
519	1804	1666
520	1810	1664
521	1811	1659
522	1813	1654
523	1815	1649
524	1820	1646
525	1823	1643
526	1826	1639
527	1829	1635
528	1831	1630
529	1836	1628
530	1838	1623
531	1841	1620
532	1843	1615
533	1846	1611
534	1851	1609
535	1855	1606
536	1857	1601
537	1861	1598
538	1872	1601
539	1876	1598
540	1883	1597
541	1887	1594
542	1913	1610
543	1918	1607
544	1921	1604
545	1923	1599
546	1925	1594
547	1929	1591
548	1932	1587
549	1933	1582
550	1935	1577
551	1941	1575
552	1944	1571
553	1946	1567
554	1948	1562
555	1951	1558
556	1960	1558
557	1964	1556
558	1967	1552
559	1971	1548
560	1973	1544
561	1975	1539
562	1977	1534
563	1980	1531
564	1984	1527
565	1986	1522
566	1987	1517
567	1988	1512
568	1990	1507
569	1991	1502
570	2017	1516
571	2022	1513
572	2025	1509
573	2030	1507
574	2033	1503
575	2035	1498
576	2036	1493
577	2038	1488
578	2043	1486
579	2046	1481
580	2048	1477
581	2049	1472
582	2050	1466
583	2051	1461
584	2053	1456
585	2059	1454
586	2062	1450
587	2063	1446
588	2065	1441
589	2066	1435
590	2069	1431
591	2082	1435
592	2088	1433
593	2096	1433
594	2098	1428
595	2100	1423
596	2104	1420
597	2107	1416
598	2109	1412
599	2111	1407
600	2112	1402
601	2114	1397
602	2115	1392
603	2119	1389
604	2127	1389
605	2132	1386
606	2138	1384
607	2140	1380
608	2142	1375
609	2146	1372
610	2149	1368
611	2150	1363
612	2152	1358
613	2153	1353
614	2155	1349
615	2156	1344
616	2157	1339
617	2163	1337
618	2170	1336
619	2178	1335
620	2191	1337
621	2193	1333
622	2195	1328
623	2196	1323
624	2198	1318
625	2200	1314
626	2203	1310
627	2204	1306
628	2260	1333
629	2265	1330
630	2268	1326
631	2273	1323
632	2275	1319
633	2277	1314
634	2319	1333
635	2352	1346
636	2357	1343
637	2369	1344
638	2374	1341
639	2380	1338
640	2384	1335
641	2387	1331
642	2389	1326
643	2392	1322
644	2394	1318
645	2397	1313
646	2398	1308
647	2407	1307
648	2410	1303
649	2413	1299
650	2428	1301
651	2429	1296
652	2442	1297
653	2448	1295
654	2464	1297
655	2470	1295
656	2474	1291
657	2476	1286
658	2477	1282
659	2484	1279
660	2494	1279
661	2501	1277
662	2506	1274
663	2510	1270
664	2512	1265
665	2515	1261
666	2519	1257
667	2521	1253
668	2523	1248
669	2525	1243
670	2526	1238
671	2527	1233
672	2534	1231
673	2542	1229
674	2552	1229
675	2556	1225
676	2559	1221
677	2564	1217
678	2565	1213
679	2567	1208
680	2569	1203
681	2570	1198
682	2579	1197
683	2583	1193
684	2598	1195
685	2603	1191
686	2609	1188
687	2612	1184
688	2614	1179
689	2616	1175
690	2617	1170
691	2620	1166
692	2622	1161
693	2625	1157
694	2627	1153
695	2629	1148
696	2631	1143
697	2635	1140
698	2640	1137
699	2657	1138
700	2662	1135
701	2670	1133
702	2672	1128
703	2673	1124
704	2675	1119
705	2677	1114
706	2680	1110
707	2683	1106
708	2685	1102
709	2687	1097
710	2688	1092
711	2691	1088
712	2692	1083
713	2701	1082
714	2707	1079
715	2712	1076
716	2717	1072
717	2722	1069
718	2725	1065
719	2728	1060
720	2729	1056
721	2731	1051
722	2732	1047
723	2735	1042
724	2740	1039
725	2741	1034
726	2742	1029
727	2743	1025
728	2745	1020
729	2746	1015
730	2748	1011
731	2751	1007
732	2757	1004
733	2764	1001
734	2772	999
735	2776	995
736	2779	991
737	2783	988
738	2786	984
739	2788	979
740	2789	975
741	2792	970
742	2794	966
743	2797	962
744	2799	958
745	2801	954
746	2803	949
747	2804	944
748	2805	940
749	2806	935
750	2808	931
751	2809	926
752	2812	922
753	2813	918
754	2815	913
755	2817	909
756	2818	904
757	2819	900
758	2820	895
759	2821	891
760	2822	886
761	2823	882
762	2824	877
763	2827	873
764	2829	869
765	2833	865
766	2834	860
767	2835	856
768	2836	852
769	2837	847
770	2839	843
771	2840	838
772	2842	834
773	2845	830
774	2846	826
775	2848	822
776	2849	817
777	2850	813
778	2851	808
779	2852	804
780	2853	800
781	2854	795
782	2857	792
783	2861	788
784	2866	785
785	2872	782
786	2878	779
787	2881	775
788	2883	771
789	2885	766
790	2888	763
791	2890	759
792	2891	754
793	2893	750
794	2894	746
795	2896	742
796	2897	738
797	2898	733
798	2900	729
799	2902	725
800	2904	721
801	2905	717
802	2907	713
803	2908	708
804	2909	704
805	2910	700
806	2911	696
807	2914	692
808	2926	690
809	2929	687
810	2936	684
811	2939	680
812	2941	676
813	2943	672
814	2945	668
815	2948	664
816	2950	660
817	2952	656
818	2953	652
819	2955	648
820	2956	644
821	2958	640
822	2959	636
823	2960	632
824	2964	628
825	2967	625
826	2968	621
827	2970	617
828	2971	612
829	2972	608
830	2973	604
831	2982	602
832	2987	598
833	2990	595
834	2994	591
835	2998	588
836	3001	584
837	3004	580
838	3005	576
839	3009	573
840	3013	569
841	3014	565
842	3015	561
843	3017	557
844	3018	553
845	3019	549
846	3020	545
847	3022	541
848	3025	538
849	3027	534
850	3028	530
851	3029	526
852	3031	522
853	3036	519
854	3044	516
855	3047	512
856	3050	509
857	3054	505
858	3058	501
859	3060	498
860	3061	494
861	3063	490
862	3065	486
863	3067	482
864	3070	479
865	3072	475
866	3073	471
867	3075	467
868	3076	463
869	3077	459
870	3079	456
871	3080	452
872	3081	448
873	3082	444
874	3086	440
875	3088	437
876	3089	433
877	3090	429
878	3091	425
879	3095	422
880	3096	418
881	3097	414
882	3098	410
883	3103	407
884	3104	403
885	3107	399
886	3112	396
887	3122	393
888	3125	390
889	3127	386
890	3130	383
891	3133	379
892	3136	375
893	3137	372
894	3139	368
895	3141	364
896	3142	360
897	3147	357
898	3149	353
899	3150	350
900	3151	346
901	3152	342
902	3154	338
903	3155	335
904	3156	331
905	3157	327
906	3159	323
907	3166	320
908	3170	317
909	3178	314
910	3181	310
911	3183	307
912	3185	303
913	3187	299
914	3188	296
915	3193	292
916	3194	289
917	3196	285
918	3197	281
919	3198	278
920	3200	274
921	3201	270
922	3202	267
923	3203	263
924	3206	260
925	3208	256
926	3209	252
927	3210	249
928	3211	245
929	3212	241
930	3214	238
931	3215	234
932	3216	230
933	3217	227
934	3218	223
935	3221	220
936	3223	216
937	3224	213
938	3225	209
939	3226	205
940	3229	202
941	3235	199
942	3238	195
943	3240	192
944	3242	188
945	3243	185
946	3245	181
947	3247	178
948	3249	174
949	3251	171
950	3252	167
951	3254	164
952	3255	160
953	3257	157
954	3258	153
955	3259	150
956	3261	146
957	3264	143
958	3271	139
959	3279	136
960	3282	133
961	3285	129
962	3287	126
963	3289	122
964	3292	119
965	3294	115
966	3296	112
967	3298	109
968	3300	105
969	3302	102
970	3304	98
971	3306	95
972	3307	91
973	3312	88
974	3321	85
975	3329	81
976	3334	78
977	3338	75
978	3342	71
979	3344	68
980	3346	64
981	3349	61
982	3352	57
983	3354	54
984	3356	51
985	3358	47
986	3359	44
987	3362	40
988	3382	37
989	3389	34
990	3394	30
991	3398	27
992	3402	23
993	3405	20
994	3407	17
995	3408	13
996	3411	10
997	3412	6
998	3414	3
999	3415	0
